ID,State,Category,Sub-category_1,Sub-category_2,Description,Group,Formula,Subject code,On formula sheet,Proof required,Comment
49,NSW,Differentiation,,,,23,"$y=cos^{-1} \dfrac{f(x)}{a} \,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,   \dfrac{dy}{dx} = - \dfrac{f'(x)} {\sqrt {a^2 - (f(x))^2} }$ <br>",Year 12 Ext 1,FALSE,,
50,NSW,Integration,,,,23,"$ {\Large\int} - \dfrac{f'(x)} {\sqrt {a^2 - (f(x))^2} }  = cos^{-1}\dfrac{f(x)}{a} + c \text{ or } -sin^{-1}\dfrac{f(x)}{a} +c$
$ \text{Note the constant c will have different values with these two options} $",Year 12 Ext 1,,,
51,NSW,Differentiation,,,,24,"$y=tan^{-1}f(x) \,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,   \dfrac{dy}{dx} = \dfrac{f'(x)} {1 + (f(x))^2}$ <br>",Year 12 Ext 1,TRUE,,
52,NSW,Integration,,,,24,$ {\Large\int} \dfrac{f'(x)} {1 + (f(x))^2} dx = \ tan^{-1} f(x) + c$,Year 12 Ext 1,FALSE,,
53,NSW,Differentiation,,,,25,"$y=tan^{-1}\dfrac{f(x)}{a} \,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,   \dfrac{dy}{dx} =  \dfrac{1}{a} tan^{-1} \dfrac{f(x)}{a} $ <br>",Year 12 Ext 1,FALSE,,
54,NSW,Integration,,,,25,$ {\Large\int} \dfrac{f'(x)} {a^2 + (f(x))^2} dx = \dfrac{1}{a} tan^{-1} \dfrac{f(x)}{a} + c$,Year 12 Ext 1,TRUE,,
55,NSW,Differentiation,,,,26,"$ \text{Function and its inverse}  \,\,\,\,\,\,\,\,\,\,\,\,\,   \dfrac{dy}{dx} \times \dfrac{dx}{dy} = 1, \text{  or  } \dfrac{dy}{dx} = \dfrac{1}{\dfrac{dx}{dy}} $ <br>",Year 12 Ext 1,FALSE,,Formula can be utilised to calculate otherwise hard to differentiate inverse functions
56,NSW,Statistics,,,,,$ \text{Mean} = \dfrac{\text{Sum of scores}}{\text{Total number of scores}} = \overline{x} = \dfrac{\sum{x}}{n} $,Year 12 Adv,FALSE,,
57,NSW,Statistics,,,,,"$ \text{The median of n scores is the } \dfrac{n+1}{2} \text{th score} $
$ \text{if n is even the median is the average of the two middle scores to the left and the right of }  \dfrac{n+1}{2} $",Year 12 Adv,FALSE,,
58,NSW,Statistics,,,,,$ \text{Range = highest score - lowest score} $,Year 12 Adv,FALSE,,
59,NSW,Statistics,,,,,$ \text{Interquartile range = Q3 - Q1} $,Year 12 Adv,FALSE,,
60,NSW,Statistics,,,,,"$\text{An outlier is a score with} $
$ \text {   less than } Q1 - 1.5  \times IQR $
$ \text {   or more than than } Q3 + 1.5  \times IQR $",Year 12 Adv,TRUE,,
61,NSW,Statistics,,,,,$ \text{Variance } =  \sigma^2 = \dfrac{\sum(x - \overline{x})^2}{n}  $,Year 12 Adv,FALSE,,
62,NSW,Statistics,,,,,$ \text{Standard deviation } = \sqrt{\text{variance}} =  \sigma = \sqrt{\dfrac{\sum(x - \overline{x})^2}{n}}$,Year 12 Adv,FALSE,,
63,NSW,Surds,,,,,$ \sqrt{xy} = \sqrt{x} \times \sqrt{y} $,Year 9,FALSE,,
64,NSW,Surds,,,,,$ \sqrt{\dfrac{x}{y}} = \dfrac{\sqrt{x}}{\sqrt{y}} $,Year 9,FALSE,,
65,NSW,Financial mathematics,,,Compounding interest,,$A = P(1+r)^n$,Year 12 Adv,TRUE,,
66,NSW,Financial mathematics,Arithmetic sequence,Recursive definition,Recursive definition of an arithmetic sequence,,$ T_n = T_{n-1} + d $,Year 12 Adv,FALSE,,
67,NSW,Financial mathematics,Arithmetic sequence,n-th term,n-th term of an arithmetic sequence,,$T_n = a + (n-1)d$,Year 12 Adv,TRUE,TRUE,
68,NSW,Financial mathematics,Arithmetic sequence,Sum of first n terms,Sum of the first n terms of an arithmetic sequence,,$S_n = \dfrac{n}{2}[2a + (n-1)d] = \dfrac{n}{2}(a+l)$,Year 12 Adv,TRUE,TRUE,
69,NSW,Financial mathematics,Geometric sequence,Recursive definition,Recursive definition of a geometric sequence,,$T_n = rT_{n-1}$,Year 12 Adv,FALSE,,
70,NSW,Financial mathematics,Geometric sequence,n-th term,n-th term of a geometric sequence,,$T_n = ar^{n-1}$,Year 12 Adv,TRUE,TRUE,
71,NSW,Financial mathematics,Geometric sequence,Sum of first n terms,Sum of the first n terms of a geometric sequence,,"$S_n = \dfrac{a(1-r^n)}{1-r} = \dfrac{a(r^n-1)}{r-1},\ \  r \neq 1$",Year 12 Adv,TRUE,TRUE,
72,NSW,Financial mathematics,Geometric sequence,Limiting sum,Limiting sum of a geometric sequence,,"$S=\dfrac{a}{1-r},\ \ |r|<1$",Year 12 Adv,TRUE,TRUE,
